time,ema_diff,atr,rsi,volume_norm,volatility_regime,trend,target
2025-12-19 11:47:00,2.026153606711887,5.1521428571429295,46.383799421407545,0.8984047019311503,0,1.0,0
2025-12-19 11:48:00,1.9954239388243877,4.822142857143002,51.41342756183621,0.762350936967632,0,1.0,0
2025-12-19 11:49:00,1.6212026348475774,5.251428571428862,43.037120359956596,1.246278179498086,0,1.0,1
2025-12-19 11:50:00,1.3738778500301123,5.360714285714754,43.355704697988145,1.6445182724252492,0,1.0,0
2025-12-19 11:51:00,1.058513810752629,5.3342857142862545,37.38122827346575,0.76218863104109,0,1.0,0
2025-12-19 11:52:00,0.8756585578958038,4.928571428571948,47.10700132100586,0.9627532128076671,0,1.0,0
2025-12-19 11:53:00,1.0153963033262698,4.9471428571432625,45.50898203592933,1.093108662778138,0,1.0,0
2025-12-19 11:54:00,1.0490417335568054,4.545000000000333,54.83765168907932,0.8670520231213873,0,1.0,0
2025-12-19 11:55:00,0.7382366248893959,4.785714285714546,43.498142326380304,1.0328014184397163,0,1.0,0
2025-12-19 11:56:00,0.6053584711335134,4.803571428571688,51.007484168106934,1.1155028546332895,0,1.0,0
2025-12-19 11:57:00,0.4315666923976096,4.7592857142860465,46.591582691168995,0.7741935483870968,0,1.0,0
2025-12-19 11:58:00,0.6010098177248437,5.107857142857548,55.78072226552422,1.0332434860736748,0,1.0,0
2025-12-19 11:59:00,0.7320532448102313,5.090000000000406,52.345474613687436,0.8231014097316962,0,1.0,0
2025-12-19 12:00:00,0.493092663706193,5.3221428571432625,45.44801149976146,0.9922267946959306,0,1.0,0
2025-12-19 12:01:00,0.08744871257295017,5.572857142857694,40.61934900542611,1.114887831407206,0,1.0,0
2025-12-19 12:02:00,0.030862052110023797,6.013571428571855,45.7231404958685,2.1991964474518926,0,1.0,0
2025-12-19 12:03:00,-0.34617401614013943,5.9042857142859635,45.93192195931759,1.6485288190245868,0,-1.0,0
2025-12-19 12:04:00,-0.1656286225625081,6.512857142857164,53.25677373048374,1.0971973762671436,0,-1.0,0
2025-12-19 12:05:00,-0.40022220247919904,6.9950000000000205,48.631820416187274,1.0956759929563686,0,-1.0,0
2025-12-19 12:06:00,-0.44859356951201335,7.3378571428571115,49.50064432989481,1.1320754716981132,0,-1.0,0
2025-12-19 12:07:00,-0.6514314485284558,7.430000000000031,42.52391340829012,1.3142751067384444,0,-1.0,0
2025-12-19 12:08:00,-1.172660523763625,7.712142857142941,39.41515010110406,2.2252559726962455,0,-1.0,1
2025-12-19 12:09:00,-1.789442621749913,7.551428571428654,41.34442812856875,1.042056870423974,0,-1.0,1
2025-12-19 12:10:00,-2.2208771341138345,7.783571428571512,40.617773372976195,1.2816131237183868,0,-1.0,1
2025-12-19 12:11:00,-2.58930105798936,7.910000000000115,41.279167366124334,1.039438502673797,0,-1.0,1
2025-12-19 12:12:00,-2.7878495817058138,7.6507142857143275,37.334288785382036,0.8027981345769487,0,-1.0,1
2025-12-19 12:13:00,-2.5926089442182274,7.94571428571414,43.93866020984472,1.5584415584415583,0,-1.0,1
2025-12-19 12:14:00,-1.894999729207484,8.138571428571336,56.15088529638054,0.8372978116079923,0,-1.0,0
2025-12-19 12:15:00,-0.9593749130617653,8.289999999999834,62.82738095237999,1.0603461718384533,0,-1.0,0
2025-12-19 12:16:00,-0.24051011055416893,7.875714285714172,58.011310084823826,0.6715832418013495,0,-1.0,0
2025-12-19 12:17:00,0.31525568923098035,7.582857142857132,62.52963088384759,0.7991327241753136,0,1.0,0
2025-12-19 12:18:00,0.8252061438033707,6.819999999999969,56.18689368441957,0.6884788339277408,0,1.0,0
2025-12-19 12:19:00,1.1953863946255296,6.417857142857039,63.40482573726699,0.4522064556369874,0,1.0,0
2025-12-19 12:20:00,1.4286788950375922,6.132142857142753,58.90599862100774,0.6646902792947418,0,1.0,0
2025-12-19 12:21:00,1.5841229681464029,5.654999999999875,61.96808510638123,0.4906616017727129,0,1.0,0
2025-12-19 12:22:00,1.839381549089012,5.33714285714268,74.5255279337081,0.5076483442595394,0,1.0,0
2025-12-19 12:23:00,1.942358404983679,5.327857142856893,76.5723702279601,0.5066854327938072,0,1.0,0
2025-12-19 12:24:00,2.0778411493520252,4.920714285713984,76.04605447908013,0.5292529252925292,0,1.0,0
2025-12-19 12:25:00,2.2578813644868205,4.8028571428567375,76.92098832473408,0.6030520316234602,0,1.0,0
2025-12-19 12:26:00,2.286066158914764,4.8114285714280935,71.21990803354035,0.5411542100283823,0,1.0,0
2025-12-19 12:27:00,2.4000678199554386,4.534285714285423,67.09956709956904,0.49446202531645567,0,1.0,0
2025-12-19 12:28:00,2.3781586464247084,4.0635714285711275,49.62136309286829,0.818815331010453,0,1.0,0
2025-12-19 12:29:00,2.3082145986772957,3.6085714285712,33.34992533599143,0.8361278783813995,0,1.0,0
2025-12-19 12:30:00,2.3788488032987516,3.88571428571413,44.14587332054061,0.9969858567122653,0,1.0,0
2025-12-19 12:31:00,2.25657527322619,4.028571428571273,40.51078819903602,0.8241494968854816,0,1.0,0
2025-12-19 12:32:00,2.344658412726858,4.323571428571346,47.69647696477202,1.1547676090081458,0,1.0,0
2025-12-19 12:33:00,2.2516862084557943,4.4221428571428465,44.881602914393504,0.8465333679563749,0,1.0,0
2025-12-19 12:34:00,2.0711410478470498,4.529285714285704,44.670050761423326,1.1706036745406825,0,1.0,0
